species,life_history,elevation_mean,bio1_mean,bio2_mean,bio3_mean,bio4_mean,bio5_mean,bio6_mean,bio7_mean,bio8_mean,bio9_mean,bio10_mean,bio11_mean,bio12_mean,bio13_mean,bio14_mean,bio15_mean,bio16_mean,bio17_mean,bio18_mean,bio19_mean
Montiopsis_gayana,Perennial,1591.315789,73.39473684,140.6578947,55.78947368,4074.815789,225.7105263,-24.71052632,250.4210526,126.7631579,126.7631579,126.7631579,22.23684211,1151.973684,215.5,23.21052632,72.21052632,598.0526316,86.02631579,86.02631579,568.9736842
Montiopsis_gilliesii,Perennial,3132.222222,33.88888889,140.4722222,56.69444444,4034.166667,167.5833333,-78.52777778,246.1111111,75.5,75.5,85,-17.58333333,376.5277778,78.08333333,7.444444444,73.63888889,198.6944444,26.91666667,29.69444444,181.6111111
Montiopsis_parviflora,Annual,2506.583333,80.41666667,142.1666667,63,2978.666667,191.75,-31.5,223.25,93.5,93.5,116.9166667,40.91666667,140.6666667,40.5,0.75,109.75,94.33333333,4.083333333,39.58333333,56.41666667
Montiopsis_potentilloides,Perennial,3148.923077,27,135.1538462,56.46153846,3950.615385,157.2307692,-79.76923077,237,75.69230769,75.69230769,76.46153846,-23.07692308,416.6923077,95.84615385,3.846153846,90.07692308,241.4615385,15.84615385,15.92307692,223
Montiopsis_ramosissima,Annual,1101.69697,119.6666667,140.5757576,57.09090909,3813,256.8181818,12.45454545,244.3636364,167,167,169,71.12121212,495.4848485,120.030303,2.424242424,101.030303,311.1212121,11.6969697,11.75757576,301.3333333
Montiopsis_sericea,Perennial,2085.846154,77.23076923,139.6538462,57.80769231,3817.307692,210,-30.42307692,240.4230769,117.8846154,117.8846154,125.8461538,28.73076923,403.7307692,95.80769231,2.923076923,91.61538462,241.3461538,13.53846154,16.38461538,232.3076923
Montiopsis_trifida,Annual,781.5,133.1851852,116.0185185,56.62962963,3091.851852,241.1111111,38.55555556,202.5555556,171.1296296,171.1296296,173.2592593,94.14814815,195.4814815,50.57407407,0.759259259,111.2407407,127.0925926,3.666666667,3.722222222,124.5925926
Montiopsis_umbellata,Perennial,1448.533333,85.88888889,142.9777778,54.17777778,4361.2,238.3777778,-22.93333333,261.3111111,140.6,140.6,143,30.6,968.3111111,191.4666667,17.44444444,78.97777778,527.8888889,62.31111111,63.2,493.6222222
Phemeranthus_confertiflorus,Perennial,1966.216867,101.0722892,166.9277108,44.3253012,7391.277108,298.313253,-74.37349398,372.686747,112.5903614,112.5903614,198.0722892,9.072289157,415.939759,69.27710843,12.03614458,48.06024096,173.2168675,48.68674699,147.4216867,95.18072289
Phemeranthus_punae,Perennial,3255.75,89.25,156.5,58.25,3982.25,217.5,-48.25,265.75,43.25,43.25,137.75,36.25,178,44.75,1.25,98.25,112.25,9.25,109.25,9.5
Philippiamra_amarantoides,Annual,2189.666667,117,119.6666667,60.33333333,2784.666667,214.1666667,18.5,195.6666667,137.1666667,137.1666667,151.1666667,80.16666667,45.16666667,14,0.333333333,103.3333333,31.33333333,1.166666667,7.333333333,25.33333333
Philippiamra_calycina,Annual,641.6666667,167.5555556,107.2222222,59.11111111,2433,257.5555556,77.66666667,179.8888889,194.7777778,194.7777778,198.6666667,135.6666667,33.66666667,10.33333333,0,102.4444444,25.22222222,0,4.777777778,20.22222222
Philippiamra_celosioides,Annual,2099.72973,127.8648649,136.6756757,66.97297297,2291.702703,224.2432432,22.40540541,201.8378378,125.7837838,125.7837838,154.972973,96.24324324,47.62162162,17.48648649,0.054054054,124.2972973,38.02702703,0.405405405,29.83783784,8.189189189
Philippiamra_densiflora,Annual,2567.3,74.3,142.5,64.1,2912.4,182.5,-37.9,220.4,81.4,81.4,109.8,35.1,69.6,20.1,0.7,122.8,44.9,3,14.6,32.6
Philippiamra_pachyphylla,Annual,303,174.5,88.5,54.5,2504,258,98.5,159.5,196.5,196.5,206.5,142.5,24,7.5,0,99.5,18,0.5,1,17.5
Philippiamra_salsoloides,Annual,2388.769231,112.8461538,135.6153846,64.23076923,2772.692308,215.6153846,4.923076923,210.6923077,111.9230769,111.9230769,145.8461538,74.69230769,46.15384615,12.53846154,1.153846154,105.7692308,25.15384615,3.769230769,13,16.38461538
Thingia_ambigua,Annual,162.6351351,218.3716216,168.6824324,45.35135135,7232.648649,411.9324324,43.24324324,368.6891892,256.7432432,256.7432432,312.0540541,128.8445946,117.1418919,19.82432432,0.358108108,57.64864865,53.02027027,5.986486486,21.37837838,48.59459459
